任务运行时间,是否成功,最后commit,job_id,Output Token Throughput,job_link,错误类型
2026-04-26T16:24:23Z,✅,951df3b3076eacc9803f13489c1dab4067ea366c,73111592314,,https://github.com/vllm-project/vllm-ascend/actions/runs/24961372881/job/73111592314,
2026-04-27T17:10:20Z,✅,189ab05f100034cdbe65b49e25f9c6a50ec0376e,73303009491,,https://github.com/vllm-project/vllm-ascend/actions/runs/25008958168/job/73303009491,
2026-04-28T17:21:26Z,✅,be38b661879d6a7a69fb399aea00dcd2e161ee0a,73497738966,,https://github.com/vllm-project/vllm-ascend/actions/runs/25067539406/job/73497738966,
