任务运行时间,是否成功,最后commit,job_id,Output Token Throughput,job_link,错误类型
2026-02-27T16:25:57Z,❌,9cd0d6c33d2ef5cb9b6ce20b1ca047e55ab23a12,65186317944,,https://github.com/vllm-project/vllm-ascend/actions/runs/22494469024/job/65186317944,
2026-02-28T16:12:29Z,❌,9d09488b4a5c64ca52987da6f1c0d159e7fe9dae,65259291439,,https://github.com/vllm-project/vllm-ascend/actions/runs/22524228270/job/65259291439,
2026-03-01T16:13:09Z,❌,a77fe932e401c238197b4e33f4e24a56affe9362,65318995678,,https://github.com/vllm-project/vllm-ascend/actions/runs/22547280169/job/65318995678,
2026-03-02T16:29:09Z,❌,15f65649762992b17e10bda2d7f942618a10dfbd,65443056007,,https://github.com/vllm-project/vllm-ascend/actions/runs/22585342176/job/65443056007,
2026-03-03T16:32:08Z,✅,859f2c25b9c6a3a828a351f284572846f90bd06d,65606594692,,https://github.com/vllm-project/vllm-ascend/actions/runs/22632712302/job/65606594692,
2026-03-04T16:28:29Z,❌,f8315f5717c7e175e23461c0102f4f9a586da874,65762810340,,https://github.com/vllm-project/vllm-ascend/actions/runs/22678733858/job/65762810340,
2026-03-05T17:50:57Z,✅,640ecd1b772b1c3dcdc57336b762cc02d011eba8,65937627544,,https://github.com/vllm-project/vllm-ascend/actions/runs/22729249652/job/65937627544,
2026-03-06T16:24:42Z,❌,01d3515dcfa28468c966cebee341104533e6a4c1,66072882249,,https://github.com/vllm-project/vllm-ascend/actions/runs/22772118594/job/66072882249,
2026-03-07T16:13:20Z,❌,01d3515dcfa28468c966cebee341104533e6a4c1,66152029357,,https://github.com/vllm-project/vllm-ascend/actions/runs/22802492469/job/66152029357,
2026-03-08T16:13:26Z,❌,01d3515dcfa28468c966cebee341104533e6a4c1,66209419644,,https://github.com/vllm-project/vllm-ascend/actions/runs/22824847687/job/66209419644,
2026-03-09T16:43:36Z,✅,ee5347e8241ec0d9c724229d10184cf4d4fc7479,66347311468,,https://github.com/vllm-project/vllm-ascend/actions/runs/22864221721/job/66347311468,
2026-03-10T16:39:29Z,❌,e16009b2cce40833b25cdd0284e85bb1984585bc,66502247298,,https://github.com/vllm-project/vllm-ascend/actions/runs/22913449807/job/66502247298,
2026-03-11T16:33:04Z,✅,da01a74009a5dafa90602b8d7a4ddbf71f6609d9,66669928907,,https://github.com/vllm-project/vllm-ascend/actions/runs/22963335080/job/66669928907,
2026-03-12T16:42:13Z,❌,fe4cad24e9efa97235a5ebff10b62d8a4d981ddc,66839073628,,https://github.com/vllm-project/vllm-ascend/actions/runs/23013136272/job/66839073628,
2026-03-13T16:20:20Z,⚪,0ad52517a18e65ef235c47ab1ee1c8e22611dc8e,66992818232,,https://github.com/vllm-project/vllm-ascend/actions/runs/23060092142/job/66992818232,
2026-03-14T15:58:23Z,❌,c69291eefc810489f5f31d3594308d6eafa0d5f9,67078810543,,https://github.com/vllm-project/vllm-ascend/actions/runs/23091313158/job/67078810543,
